at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.287 | y : 0.190809 | z : 0.938735
eye : x : 22 | y : 4 | z : 4
at : x : 22.287 | y : 4.19081 | z : 4.93874
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.28793 | y : 0.173648 | z : 0.941776
eye : x : 22 | y : 4 | z : 4
at : x : 22.2879 | y : 4.17365 | z : 4.94178
forward : x : 0.304322 | y : 0.173648 | z : 0.936608
eye : x : 22 | y : 4 | z : 4
at : x : 22.3043 | y : 4.17365 | z : 4.93661
forward : x : 0.304322 | y : 0.173648 | z : 0.936608
eye : x : 22 | y : 4 | z : 4
at : x : 22.3043 | y : 4.17365 | z : 4.93661
forward : x : 0.304322 | y : 0.173648 | z : 0.936608
eye : x : 22 | y : 4 | z : 4
at : x : 22.3043 | y : 4.17365 | z : 4.93661
forward : x : 0.304322 | y : 0.173648 | z : 0.936608
eye : x : 22 | y : 4 | z : 4
at : x : 22.3043 | y : 4.17365 | z : 4.93661
